wsid,wsnm,inme,mdct
305,LINHARES,A614,31/10/2006 1:00
305,LINHARES,A614,31/10/2006 2:00
305,LINHARES,A614,31/10/2006 3:00
305,LINHARES,A614,31/10/2006 4:00
306,ALFREDO CHAVES,A615,03/11/2006 0:00
306,ALFREDO CHAVES,A615,03/11/2006 1:00
306,ALFREDO CHAVES,A615,03/11/2006 2:00
306,ALFREDO CHAVES,A615,03/11/2006 3:00
306,ALFREDO CHAVES,A615,03/11/2006 4:00
306,ALFREDO CHAVES,A615,03/11/2006 5:00
306,ALFREDO CHAVES,A615,03/11/2006 6:00
306,ALFREDO CHAVES,A615,03/11/2006 7:00
306,ALFREDO CHAVES,A615,03/11/2006 8:00
306,ALFREDO CHAVES,A615,03/11/2006 9:00
306,ALFREDO CHAVES,A615,03/11/2006 10:00
306,ALFREDO CHAVES,A615,03/11/2006 11:00
306,ALFREDO CHAVES,A615,03/11/2006 12:00
306,ALFREDO CHAVES,A615,03/11/2006 13:00
306,ALFREDO CHAVES,A615,03/11/2006 14:00
306,ALFREDO CHAVES,A615,03/11/2006 15:00
306,ALFREDO CHAVES,A615,03/11/2006 16:00
306,ALFREDO CHAVES,A615,03/11/2006 17:00
306,ALFREDO CHAVES,A615,03/11/2006 18:00
306,ALFREDO CHAVES,A615,03/11/2006 19:00
306,ALFREDO CHAVES,A615,03/11/2006 20:00
306,ALFREDO CHAVES,A615,03/11/2006 21:00
306,ALFREDO CHAVES,A615,03/11/2006 22:00
306,ALFREDO CHAVES,A615,03/11/2006 23:00
306,ALFREDO CHAVES,A615,04/11/2006 0:00
306,ALFREDO CHAVES,A615,04/11/2006 1:00
306,ALFREDO CHAVES,A615,04/11/2006 2:00
306,ALFREDO CHAVES,A615,04/11/2006 3:00
306,ALFREDO CHAVES,A615,04/11/2006 4:00
306,ALFREDO CHAVES,A615,04/11/2006 5:00
306,ALFREDO CHAVES,A615,04/11/2006 6:00
306,ALFREDO CHAVES,A615,04/11/2006 7:00
306,ALFREDO CHAVES,A615,04/11/2006 8:00
306,ALFREDO CHAVES,A615,04/11/2006 9:00
306,ALFREDO CHAVES,A615,04/11/2006 10:00
306,ALFREDO CHAVES,A615,04/11/2006 11:00
306,ALFREDO CHAVES,A615,04/11/2006 12:00
306,ALFREDO CHAVES,A615,04/11/2006 13:00
306,ALFREDO CHAVES,A615,04/11/2006 14:00
306,ALFREDO CHAVES,A615,04/11/2006 15:00
306,ALFREDO CHAVES,A615,04/11/2006 16:00
306,ALFREDO CHAVES,A615,04/11/2006 17:00
306,ALFREDO CHAVES,A615,04/11/2006 18:00
306,ALFREDO CHAVES,A615,04/11/2006 19:00
306,ALFREDO CHAVES,A615,04/11/2006 20:00
306,ALFREDO CHAVES,A615,04/11/2006 21:00
306,ALFREDO CHAVES,A615,04/11/2006 22:00
306,ALFREDO CHAVES,A615,04/11/2006 23:00
306,ALFREDO CHAVES,A615,05/11/2006 0:00
306,ALFREDO CHAVES,A615,05/11/2006 1:00
306,ALFREDO CHAVES,A615,05/11/2006 2:00
306,ALFREDO CHAVES,A615,05/11/2006 3:00
306,ALFREDO CHAVES,A615,05/11/2006 4:00
306,ALFREDO CHAVES,A615,05/11/2006 5:00
306,ALFREDO CHAVES,A615,05/11/2006 6:00
306,ALFREDO CHAVES,A615,05/11/2006 7:00
306,ALFREDO CHAVES,A615,05/11/2006 8:00
306,ALFREDO CHAVES,A615,05/11/2006 9:00
306,ALFREDO CHAVES,A615,05/11/2006 10:00
306,ALFREDO CHAVES,A615,05/11/2006 11:00
306,ALFREDO CHAVES,A615,05/11/2006 12:00
306,ALFREDO CHAVES,A615,05/11/2006 13:00
306,ALFREDO CHAVES,A615,05/11/2006 14:00
306,ALFREDO CHAVES,A615,05/11/2006 15:00
306,ALFREDO CHAVES,A615,05/11/2006 16:00
